interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;300.00;edge_data_300sec_freq;0;23.12;0;93;279611139;0;0;11.56;93;5.78;2.91;235.66;13.41;1.00;0.01;2.53;0.00
0.00;300.00;edge_data_300sec_freq;39;9.71;0;41;28319343#0;0;0;4.86;0;2.43;8.33;320.48;13.80;1.00;0.00;7.97;0.00
0.00;300.00;edge_data_300sec_freq;0;6.24;0;27;283512618#0;0;0;2.08;24;1.04;8.60;206.68;13.41;1.00;0.00;8.23;0.00
0.00;300.00;edge_data_300sec_freq;0;5.62;0;24;283512618#2;0;0;1.87;21;0.94;5.90;125.11;13.41;1.00;0.00;5.53;0.00
0.00;300.00;edge_data_300sec_freq;0;23.61;97;0;28518678#1;0;0;11.81;93;5.90;9.40;857.23;13.41;1.00;0.01;9.02;0.00
0.00;300.00;edge_data_300sec_freq;0;9.15;0;39;287958607#2;0;0;3.05;37;1.52;8.12;293.66;13.80;1.00;0.00;7.75;0.00
0.00;300.00;edge_data_300sec_freq;0;66.30;0;68;288265976#0;0;0;66.30;63;33.15;13.04;770.57;3.35;0.49;393.23;11.55;0.00
0.00;300.00;edge_data_300sec_freq;0;4.95;0;21;29328570#0;0;0;4.95;20;2.48;2.10;35.91;13.90;1.00;0.00;1.74;0.00
0.00;300.00;edge_data_300sec_freq;0;29.42;0;61;30029703#0;0;0;29.42;60;14.71;3.95;194.90;6.85;1.00;0.00;3.22;0.00
0.00;300.00;edge_data_300sec_freq;0;14.71;0;38;30029846#0;0;0;7.36;35;3.68;12.84;464.43;8.59;0.77;107.78;12.26;0.00
0.00;300.00;edge_data_300sec_freq;0;11.46;0;39;30029867#0;0;0;5.73;37;2.86;5.65;199.82;11.18;1.00;0.00;5.20;0.00
0.00;300.00;edge_data_300sec_freq;0;10.81;0;35;30030100#0;0;0;5.41;35;2.70;3.22;96.36;10.79;0.96;3.38;2.75;0.00
0.00;300.00;edge_data_300sec_freq;0;27.50;0;94;30030100#2;0;0;13.75;90;6.88;11.28;999.27;11.18;1.00;0.05;10.83;0.00
0.00;300.00;edge_data_300sec_freq;0;26.85;0;90;30030100#4;0;0;13.42;90;6.71;1.44;89.64;11.17;1.00;0.04;1.00;0.00
0.00;300.00;edge_data_300sec_freq;0;10.43;0;35;30030472#0;0;0;10.43;35;5.22;5.58;179.62;11.18;1.00;0.00;5.13;0.00
0.00;300.00;edge_data_300sec_freq;0;27.37;0;93;30030485#4;0;0;27.37;90;13.69;9.82;860.83;11.18;1.00;0.04;9.38;0.00
0.00;300.00;edge_data_300sec_freq;0;26.67;0;90;30030485#5;0;0;26.67;89;13.34;5.23;428.03;11.18;1.00;0.00;4.78;0.00
0.00;300.00;edge_data_300sec_freq;0;26.19;0;89;30030485#6;0;0;26.19;87;13.09;5.12;410.67;11.18;1.00;0.00;4.68;0.00
0.00;300.00;edge_data_300sec_freq;33;9.84;0;33;30035647#1;0;0;9.84;0;4.92;4.93;147.91;11.18;1.00;0.00;4.48;0.00
0.00;300.00;edge_data_300sec_freq;0;12.46;0;53;32931798#1;0;0;6.23;50;3.11;9.74;483.70;13.80;1.00;0.01;9.38;0.00
0.00;300.00;edge_data_300sec_freq;0;7.24;0;31;329596844#1;0;0;3.62;28;1.81;11.02;309.98;13.41;1.00;0.01;10.65;0.00
0.00;300.00;edge_data_300sec_freq;0;20.96;0;86;359898157#0;0;0;5.24;83;2.62;5.01;390.70;13.41;1.00;0.01;4.63;0.00
0.00;300.00;edge_data_300sec_freq;0;25.13;0;102;359898622#0;0;0;8.38;100;4.19;4.09;375.33;13.41;1.00;0.01;3.71;0.00
0.00;300.00;edge_data_300sec_freq;0;26.55;0;111;359898623#1;0;0;13.27;102;6.64;13.84;1438.44;13.41;1.00;0.10;13.47;0.00
0.00;300.00;edge_data_300sec_freq;0;54.54;0;221;396935396;0;0;13.64;217;6.82;5.13;1044.60;13.41;1.00;0.08;4.76;0.00
0.00;300.00;edge_data_300sec_freq;0;55.65;0;226;396935402;0;0;18.55;221;9.28;4.45;913.43;13.41;1.00;0.05;4.08;0.00
0.00;300.00;edge_data_300sec_freq;0;53.15;0;217;396935405#2;0;0;17.72;211;8.86;7.15;1450.09;13.41;1.00;0.11;6.78;0.00
0.00;300.00;edge_data_300sec_freq;0;2.50;0;15;397028729;0;0;0.83;9;0.42;14.86;170.95;15.65;1.00;0.01;14.54;0.00
0.00;300.00;edge_data_300sec_freq;0;51.95;0;211;397094231;0;0;12.99;207;6.49;4.29;818.42;13.41;1.00;0.06;3.92;0.00
0.00;300.00;edge_data_300sec_freq;14;3.49;0;15;397140734;0;0;0.87;0;0.44;2.57;30.92;13.41;1.00;0.00;2.20;0.00
0.00;300.00;edge_data_300sec_freq;0;7.99;0;34;397146707#0;0;0;3.99;31;2.00;10.53;326.54;13.41;1.00;0.01;10.16;0.00
0.00;300.00;edge_data_300sec_freq;0;8.09;0;36;398467248#1;0;0;2.70;29;1.35;11.66;367.42;13.41;1.00;0.00;11.29;0.00
0.00;300.00;edge_data_300sec_freq;0;22.00;0;92;399163465#1;0;0;22.00;90;11.00;9.93;871.38;13.80;1.00;0.01;9.57;0.00
0.00;300.00;edge_data_300sec_freq;0;26.02;0;43;399163468;0;0;26.02;39;13.01;6.71;235.86;5.25;0.38;146.13;5.75;0.00
0.00;300.00;edge_data_300sec_freq;0;49.78;104;0;399163469#1;0;0;49.78;101;24.89;8.40;783.39;6.84;1.00;0.93;7.67;0.00
0.00;300.00;edge_data_300sec_freq;0;48.36;0;101;399163469#2;0;0;48.36;98;24.18;8.63;784.95;6.85;1.00;0.02;7.90;0.00
0.00;300.00;edge_data_300sec_freq;0;254.93;0;162;408575052;0;0;84.98;138;42.49;46.77;6837.28;2.02;0.18;5602.79;44.29;0.00
0.00;300.00;edge_data_300sec_freq;0;93.35;100;0;408600375#0;0;0;46.68;96;23.34;9.14;767.92;3.55;0.32;524.33;7.73;0.00
0.00;300.00;edge_data_300sec_freq;0;3.99;0;17;417091894#0;0;0;2.00;16;1.00;3.64;54.58;13.90;1.00;0.01;3.28;0.00
0.00;300.00;edge_data_300sec_freq;0;10.54;0;44;417099344;0;0;2.63;43;1.32;3.52;137.76;13.80;1.00;0.00;3.16;0.00
0.00;300.00;edge_data_300sec_freq;0;11.47;0;48;417101704#1;0;0;11.47;47;5.73;4.08;176.44;13.80;1.00;0.02;3.72;0.00
0.00;300.00;edge_data_300sec_freq;0;10.25;0;45;417284150#2;0;0;10.25;40;5.12;11.09;455.11;13.80;1.00;0.01;10.73;0.00
0.00;300.00;edge_data_300sec_freq;0;9.64;0;41;425516649#0;0;0;2.41;39;1.20;7.91;301.06;13.80;1.00;0.00;7.54;0.00
0.00;300.00;edge_data_300sec_freq;0;31.51;0;68;425516661#4;0;0;31.51;62;15.76;17.19;1066.04;6.85;1.00;0.01;16.46;0.00
0.00;300.00;edge_data_300sec_freq;0;5.01;0;22;437384203;0;0;1.67;20;0.83;2.53;45.37;13.90;1.00;0.00;2.17;0.00
0.00;300.00;edge_data_300sec_freq;0;4.47;0;20;437384204;0;0;1.49;17;0.74;5.50;95.73;13.90;1.00;0.00;5.14;0.00
0.00;300.00;edge_data_300sec_freq;0;7.03;0;30;443021969#1;0;0;2.34;27;1.17;8.60;232.53;13.41;1.00;0.00;8.22;0.00
0.00;300.00;edge_data_300sec_freq;0;5.04;0;21;443021988#0;0;0;5.04;21;2.52;2.32;41.12;13.90;1.00;0.00;1.96;0.00
0.00;300.00;edge_data_300sec_freq;0;14.17;0;30;461084153#4;0;0;14.17;28;7.09;22.08;621.84;6.85;1.00;0.01;21.35;0.00
0.00;300.00;edge_data_300sec_freq;0;13.12;0;28;461084153#7;0;0;13.12;25;6.56;22.16;577.68;6.85;1.00;0.00;21.43;0.00
0.00;300.00;edge_data_300sec_freq;0;29.26;0;60;48211195#0;0;0;29.26;59;14.63;4.54;225.53;6.76;0.99;2.98;3.80;0.00
0.00;300.00;edge_data_300sec_freq;0;34.10;0;39;497520879#0;0;0;34.10;18;17.05;51.91;1511.82;2.94;0.21;1189.39;50.21;0.00
0.00;300.00;edge_data_300sec_freq;0;10.75;0;46;512984874#1;0;0;5.37;43;2.69;7.02;296.31;13.80;1.00;0.00;6.66;0.00
0.00;300.00;edge_data_300sec_freq;0;10.38;0;43;512984874#2;0;0;5.19;43;2.60;1.36;42.70;13.81;1.00;0.00;0.99;0.00
0.00;300.00;edge_data_300sec_freq;0;10.06;0;42;512984875#0;0;0;5.03;41;2.51;4.00;151.27;13.80;1.00;0.00;3.63;0.00
0.00;300.00;edge_data_300sec_freq;0;51.17;0;207;513970793;0;0;17.06;205;8.53;3.36;615.77;13.41;1.00;0.00;2.99;0.00
0.00;300.00;edge_data_300sec_freq;0;32.06;0;134;514604867;0;0;16.03;125;8.01;12.06;1507.25;13.41;1.00;0.00;11.69;0.00
0.00;300.00;edge_data_300sec_freq;0;3.60;0;15;516129277#0;0;0;1.20;15;0.60;2.38;30.36;13.90;1.00;0.00;2.02;0.00
0.00;300.00;edge_data_300sec_freq;0;6.90;0;30;680783335;0;0;6.90;27;3.45;8.34;227.84;13.80;1.00;0.01;7.98;0.00
0.00;300.00;edge_data_300sec_freq;0;21.19;0;90;706534240#1;0;0;21.19;86;10.60;10.71;908.08;13.80;1.00;0.00;10.35;0.00
0.00;300.00;edge_data_300sec_freq;0;20.37;0;86;706534240#6;0;0;20.37;83;10.18;10.96;893.22;13.80;1.00;0.02;10.59;0.00
